Date, Volume, Adj_Close, High, Low, Open, Close
2015-05-08, 15699400, 44.09, 44.55, 44.00, 44.34, 44.09
2015-05-07, 28194200, 43.87, 44.98, 43.55, 44.93, 43.87
2015-05-06, 13921000, 41.66, 41.73, 41.21, 41.31, 41.66
2015-05-05, 19278500, 41.30, 42.00, 40.81, 41.86, 41.30
2015-05-04, 14455200, 42.04, 42.55, 41.83, 42.50, 42.04
2015-05-01, 10457300, 42.51, 42.68, 42.09, 42.55, 42.51
2015-04-30, 14218600, 42.57, 43.31, 42.26, 43.12, 42.57
2015-04-29, 12680000, 43.28, 44.05, 43.09, 43.88, 43.28
2015-04-28, 7197100, 44.34, 44.57, 43.94, 44.34, 44.34
2015-04-27, 10855400, 44.36, 45.10, 44.25, 44.65, 44.36
2015-04-24, 11281100, 44.52, 44.71, 43.69, 43.73, 44.52
2015-04-23, 14298900, 43.70, 44.06, 43.58, 43.92, 43.70
2015-04-22, 32284300, 43.98, 44.85, 43.67, 44.58, 43.98
2015-04-21, 18617900, 44.49, 45.18, 44.45, 45.15, 44.49
2015-04-20, 10228700, 44.66, 44.91, 44.41, 44.73, 44.66
2015-04-17, 13591600, 44.45, 45.44, 44.25, 45.30, 44.45
2015-04-16, 13833100, 45.78, 46.13, 45.53, 45.82, 45.78
2015-04-15, 15039600, 45.73, 45.83, 45.23, 45.46, 45.73
2015-04-14, 12365800, 45.53, 45.64, 44.79, 44.82, 45.53
2015-04-13, 8837300, 44.77, 45.59, 44.72, 45.25, 44.77
2015-04-10, 8436400, 45.18, 45.79, 45.00, 45.79, 45.18
2015-04-09, 13678000, 45.63, 46.17, 45.16, 45.70, 45.63
2015-04-08, 16071000, 45.17, 45.19, 43.80, 43.86, 45.17
2015-04-07, 11382000, 43.61, 44.22, 43.56, 43.79, 43.61
2015-04-06, 10717000, 43.67, 44.03, 43.61, 43.82, 43.67
2015-04-02, 12229400, 44.15, 44.36, 43.68, 44.24, 44.15
2015-04-01, 14722300, 44.13, 44.60, 43.95, 44.45, 44.13
2015-03-31, 10415500, 44.44, 45.20, 44.42, 44.82, 44.44
2015-03-30, 8884300, 44.95, 45.42, 44.82, 45.36, 44.95
2015-03-27, 20563500, 45.10, 45.67, 45.01, 45.20, 45.10
2015-03-26, 16162900, 44.47, 44.67, 43.68, 43.78, 44.47
2015-03-25, 14036900, 44.20, 44.93, 44.13, 44.59, 44.20
2015-03-24, 7559100, 44.42, 44.78, 44.28, 44.64, 44.42
2015-03-23, 8268800, 44.72, 45.54, 44.71, 45.25, 44.72
2015-03-20, 14194200, 45.04, 45.58, 44.91, 45.37, 45.04
2015-03-19, 14758000, 44.98, 45.45, 44.81, 44.90, 44.98
2015-03-18, 18919900, 44.67, 44.71, 43.43, 43.58, 44.67
2015-03-17, 9656200, 43.79, 44.16, 43.46, 43.54, 43.79
2015-03-16, 11376400, 43.51, 43.88, 42.75, 42.93, 43.51
2015-03-13, 9087000, 42.87, 42.98, 42.44, 42.84, 42.87
2015-03-12, 8384800, 42.95, 43.36, 42.58, 42.70, 42.95
2015-03-11, 10007300, 42.50, 42.99, 42.36, 42.77, 42.50
2015-03-10, 10600700, 42.68, 42.92, 42.18, 42.57, 42.68
2015-03-09, 11801900, 42.98, 43.93, 42.67, 43.60, 42.98
2015-03-06, 11888000, 43.44, 44.24, 43.40, 43.98, 43.44
2015-03-05, 11867700, 44.16, 44.31, 43.50, 44.18, 44.16
2015-03-04, 30098500, 43.99, 44.38, 41.97, 42.08, 43.99
2015-03-03, 22392400, 42.62, 43.95, 42.42, 43.70, 42.62
2015-03-02, 11027300, 44.11, 44.43, 43.70, 44.06, 44.11
2015-02-27, 10044200, 44.28, 44.57, 44.05, 44.38, 44.28
2015-02-26, 9223800, 44.45, 44.76, 44.26, 44.60, 44.45
2015-02-25, 17922900, 44.43, 44.72, 43.21, 43.21, 44.43
2015-02-24, 9797500, 43.38, 43.52, 42.91, 43.45, 43.38
2015-02-23, 12129100, 43.53, 43.99, 43.42, 43.99, 43.53
2015-02-20, 12036200, 44.11, 44.36, 43.76, 44.30, 44.11
2015-02-19, 13301000, 44.37, 44.42, 43.50, 43.65, 44.37
2015-02-18, 10410700, 43.65, 43.82, 43.30, 43.56, 43.65
2015-02-17, 12798400, 43.53, 44.54, 43.35, 44.37, 43.53
2015-02-13, 13785800, 44.42, 44.59, 44.00, 44.12, 44.42
2015-02-12, 18158200, 43.93, 44.16, 42.86, 43.07, 43.93
2015-02-11, 9791100, 42.96, 43.26, 42.76, 43.18, 42.96
2015-02-10, 12160800, 43.07, 43.18, 42.66, 42.90, 43.07
2015-02-09, 15507600, 42.57, 43.15, 42.54, 42.61, 42.57
2015-02-06, 16005100, 42.94, 43.66, 42.67, 43.57, 42.94
2015-02-05, 18414500, 43.55, 44.26, 43.03, 44.08, 43.55
2015-02-04, 16281400, 44.05, 44.98, 43.88, 44.80, 44.05
2015-02-03, 16985900, 44.70, 45.25, 44.38, 45.10, 44.70
2015-02-02, 20305700, 44.69, 44.76, 43.88, 44.43, 44.69
2015-01-30, 36033600, 43.99, 44.85, 43.51, 43.75, 43.99
2015-01-29, 74370100, 43.73, 43.80, 41.80, 43.56, 43.73
2015-01-28, 84839700, 46.46, 50.32, 46.30, 49.80, 46.46
2015-01-27, 45777200, 47.99, 49.28, 47.66, 49.14, 47.99
2015-01-26, 18976400, 49.44, 49.79, 49.07, 49.57, 49.44
2015-01-23, 14294300, 48.95, 49.23, 48.63, 48.74, 48.95
2015-01-22, 12647400, 48.89, 49.08, 48.01, 48.43, 48.89
2015-01-21, 16305100, 48.18, 48.38, 47.32, 47.60, 48.18
2015-01-20, 15845900, 47.63, 47.89, 46.77, 46.79, 47.63
2015-01-16, 14681800, 46.47, 46.59, 45.85, 46.06, 46.47
2015-01-15, 17126000, 46.23, 47.75, 46.20, 47.54, 46.23
2015-01-14, 15911600, 47.51, 48.09, 47.07, 47.70, 47.51
2015-01-13, 21605200, 48.30, 49.48, 47.40, 49.15, 48.30
2015-01-12, 10170700, 48.80, 49.93, 48.56, 49.92, 48.80
2015-01-09, 7462800, 49.72, 50.41, 49.62, 50.28, 49.72
2015-01-08, 14704800, 50.23, 50.23, 48.72, 48.99, 50.23
2015-01-07, 11788000, 48.59, 49.64, 48.51, 49.62, 48.59
2015-01-06, 16204300, 49.21, 49.88, 48.33, 49.20, 49.21
2015-01-05, 14389300, 49.13, 49.88, 48.91, 49.71, 49.13
2015-01-02, 11924500, 50.17, 50.78, 49.47, 50.66, 50.17
2014-12-31, 9305000, 50.51, 51.68, 50.46, 51.54, 50.51
2014-12-30, 10703500, 51.22, 51.27, 50.35, 50.35, 51.22
2014-12-29, 6624500, 50.53, 51.01, 50.51, 50.67, 50.53
2014-12-26, 5169700, 50.86, 51.06, 50.61, 50.65, 50.86
2014-12-24, 5961900, 50.65, 50.92, 50.19, 50.19, 50.65
2014-12-23, 15514000, 50.02, 51.46, 49.93, 51.46, 50.02
2014-12-22, 24021100, 51.15, 51.60, 50.95, 50.99, 51.15
